name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
CanisMajor,g/c,108.1458,-27.6667,7.21,1.0,-,-,-14.39,0.85,87.0,4.0,McConnachie2012
SagittariusdSph,g,283.8312,-30.5453,26.3,1.82,342.0,12.0,-13.5,0.34,140.0,2.0,McConnachie2012
TucanaIII,g/c,359.15,-59.6,25.23,1.86,6.0,0.7,-2.41,0.43,-,-,McConnachie2012/Drlica-Wagber2015
DracoII,g/c,238.1983,64.5653,23.99,3.31,2.7,0.9,-2.9,0.85,-,-,McConnachie2012
Segue(I),g,151.7667,16.0819,22.91,2.11,4.4,0.9,-1.5,0.82,208.5,0.9,McConnachie2012
Reticulum2,g/c,53.9254,-54.0492,30.2,2.78,3.64,0.16,-2.7,0.22,-,-,McConnachie2012/Koposov2015
CetusII,g/c,19.47,-17.42,29.92,2.62,1.9,0.75,0.02,0.73,-,-,McConnachie2012/Drlica-Wagber2015
TriangulumII,g/c,33.3225,36.1783,30.2,1.39,3.9,1.0,-1.8,0.51,-382.1,2.9,McConnachie2012/Kirby2015
UrsaMajorII,g,132.875,63.13,31.62,4.37,16.0,1.0,-4.2,0.58,-116.5,1.9,McConnachie2012
BootesII,g,209.5,12.85,41.69,1.15,4.2,1.4,-2.7,0.9,-117.0,5.2,McConnachie2012
SegueII,g,34.8167,20.1753,34.67,1.6,3.4,0.2,-2.5,0.32,-39.2,2.5,McConnachie2012
Willman1,g,162.3375,51.05,38.02,7.0,2.3,0.4,-2.7,0.81,-12.3,2.5,McConnachie2012
ComaBerenices,g,186.7458,23.9042,43.65,4.02,6.0,0.6,-4.1,0.54,98.1,0.9,McConnachie2012
TucanaIV,g/c,0.73,-60.85,48.08,4.21,9.1,1.55,-3.51,0.36,-,-,McConnachie2012/Drlica-Wagber2015
BootesIII,g/c,209.3,26.8,46.77,2.15,-,-,-5.75,0.51,197.5,3.8,McConnachie2012
GrusII,g/c,331.02,-46.44,52.97,5.12,6.0,0.7,-3.92,0.29,-,-,McConnachie2012/Drlica-Wagber2015
LMC,g,80.8938,-69.7561,50.58,2.1,-,-,-18.12,0.13,262.2,3.4,McConnachie2012
